NAME,POSITION,TEAM_NAME,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abdul Bangalzai,2 Batsmen,QG,HOME,CHASE,3.034,0.637,0.0,0.0,3.0,0.0,20
Ahsan Ali,2 Batsmen,QG,HOME,CHASE,6.954,0.0,0.0,8.77,10.0,12.0,78
Alex Hales,2 Batsmen,IU,AWAY,TARGET,6.757,0.0,0.0,6.757,9.0,9.0,59
Asif Ali,2 Batsmen,IU,AWAY,TARGET,1.673,1.25,1.284,1.673,1.5,1.0,4
Azam Khan,1 Wicketkeeper,IU,AWAY,TARGET,2.415,0.24,0.24,0.76,2.0,0.0,105
Ben Duckett,2 Batsmen,QG,HOME,CHASE,3.315,0.0,0.0,3.315,4.5,2.25,17
Colin Munro,2 Batsmen,IU,AWAY,TARGET,4.191,0.0,0.0,4.191,6.0,4.0,103
Faheem Ashraf,3 All Rounder,IU,AWAY,TARGET,3.345,3.352,3.657,3.19,4.5,4.5,20
Hasan Ali,4 Bowler,IU,AWAY,TARGET,5.463,6.697,5.877,4.988,7.0,9.25,56
Iftikhar Ahmed,2 Batsmen,QG,HOME,CHASE,3.514,1.745,1.745,1.707,3.5,1.5,18
James Faulkner,3 All Rounder,QG,HOME,CHASE,5.273,0.0,0.0,5.025,7.5,6.25,72
James Vince,2 Batsmen,QG,HOME,CHASE,2.97,4.303,3.777,2.702,3.0,3.75,10
Mohammad Nawaz,3 All Rounder,QG,HOME,CHASE,5.508,5.016,4.83,5.087,7.5,9.75,123
Mohammad Wasim,3 All Rounder,IU,AWAY,TARGET,6.986,5.7,5.7,7.64,9.5,14.25,62
Mubasir Khan,3 All Rounder,IU,AWAY,TARGET,5.547,0.0,0.0,0.571,5.0,0.0,4
Naseem Shah,4 Bowler,QG,HOME,CHASE,6.877,0.67,0.0,9.315,10.5,13.5,2
Paul Stirling,3 All Rounder,IU,AWAY,TARGET,4.772,5.777,5.974,4.736,6.0,7.75,89
Sarfaraz Ahmed,1 Wicketkeeper,QG,HOME,CHASE,2.372,0.781,0.544,3.016,3.5,1.5,15
Shadab Khan,3 All Rounder,IU,AWAY,TARGET,4.922,5.009,5.289,4.922,6.0,7.75,174
Shahid Afridi,3 All Rounder,QG,HOME,CHASE,3.564,0.0,0.0,0.162,3.0,0.0,35
Sohail Tanvir,4 Bowler,QG,HOME,CHASE,2.788,0.0,0.0,2.788,3.0,1.0,10
Waqas Maqsood,4 Bowler,IU,AWAY,TARGET,3.563,0.0,0.0,4.324,5.0,3.0,29
