NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Aamer Yamin,3 All Rounder,HOME,CHASE,4.269,0.0,0.0,3.251,5.5,3.0,53
Babar Azam,2 Batsmen,HOME,CHASE,4.611,5.259,5.458,4.543,6.0,7.75,126
Ben Cutting,3 All Rounder,AWAY,TARGET,1.714,0.0,0.0,1.714,1.5,0.25,38
Haider Ali,2 Batsmen,AWAY,TARGET,5.289,2.516,2.516,4.922,7.0,6.5,28
Hazratullah Zazai,2 Batsmen,AWAY,TARGET,8.222,3.081,3.081,0.0,8.0,2.25,62
Hussain Talat,3 All Rounder,AWAY,TARGET,3.699,1.209,1.209,3.602,4.5,3.0,27
Ian Cockbain,2 Batsmen,HOME,CHASE,5.29,0.0,0.0,6.506,8.0,7.5,48
Imad Wasim,3 All Rounder,HOME,CHASE,4.16,3.996,3.996,3.59,5.5,5.25,2
Kamran Akmal,1 Wicketkeeper,AWAY,TARGET,3.346,0.0,0.0,3.431,4.5,2.25,27
Lewis Gregory,3 All Rounder,HOME,CHASE,1.824,7.034,4.202,1.484,1.5,4.75,21
Mohammad Imran,4 Bowler,HOME,CHASE,3.977,0.0,0.0,4.058,5.0,3.0,2
Mohammad Nabi,3 All Rounder,HOME,CHASE,3.578,4.83,5.561,3.578,4.5,5.5,27
Mohammad Taha,3 All Rounder,HOME,CHASE,3.946,0.0,0.0,0.379,3.0,0.0,4
Mohammad Umar,4 Bowler,AWAY,TARGET,5.366,0.0,0.0,3.638,6.5,3.75,95
Sahibzada Farhan,2 Batsmen,HOME,CHASE,3.972,0.0,0.0,1.292,3.5,0.75,2
Salman Irshad,4 Bowler,AWAY,TARGET,4.117,0.0,0.0,4.363,6.0,4.0,6
Sharjeel Khan,2 Batsmen,HOME,CHASE,3.414,1.309,1.309,5.291,5.5,4.5,10
Sherfane Rutherford,2 Batsmen,AWAY,TARGET,2.907,0.0,0.0,3.234,3.5,1.5,15
Shoaib Malik,3 All Rounder,AWAY,TARGET,4.458,2.199,2.199,4.458,6.0,5.5,120
Umaid Asif,3 All Rounder,HOME,CHASE,5.714,0.0,0.0,5.714,7.5,6.25,83
Usman Qadir,4 Bowler,AWAY,TARGET,3.693,3.781,3.879,3.519,4.5,4.5,29
Wahab Riaz,4 Bowler,AWAY,TARGET,4.713,0.0,0.0,5.97,6.5,5.0,10
