NAME,POSITION,GROUND,TEAM_NAME,VS_TEAM,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Abhishek Sharma,3 All Rounder,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,5.125,0.0,0.0,5.022,7.5,6.25,69
Aiden Markram,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,4.597,4.82,6.562,5.704,6.5,8.5,20
Anuj Rawat,1 Wicketkeeper,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,2.449,0.0,0.0,3.267,3.5,1.5,10
Bhuvneshwar Kumar,4 Bowler,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,5.622,4.466,4.839,5.622,7.5,9.25,35
Dinesh Karthik,1 Wicketkeeper,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,5.249,0.0,0.0,4.721,7.0,5.0,2
Faf du Plessis,2 Batsmen,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,4.857,1.164,0.0,4.857,6.0,4.5,10
Glenn Maxwell,3 All Rounder,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,5.498,4.237,4.237,6.632,8.0,10.5,18
Harshal Patel,4 Bowler,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,5.559,5.916,5.916,5.559,7.5,10.0,33
Jagadeesha Suchith,4 Bowler,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,4.689,0.0,0.0,4.461,6.0,4.0,60
Josh Hazlewood,4 Bowler,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,8.053,6.99,7.45,9.502,12.5,22.75,5
Kane Williamson,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,5.02,4.852,4.464,5.337,7.5,9.25,38
Marco Jansen,3 All Rounder,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,4.716,7.107,0.0,3.295,5.5,6.5,93
Mohammed Siraj,4 Bowler,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,4.158,4.248,4.474,3.754,5.5,6.0,6
Nicholas Pooran,1 Wicketkeeper,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,5.172,3.384,3.927,5.342,7.5,8.5,32
Rahul Tripathi,2 Batsmen,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,4.194,0.0,0.0,5.53,6.5,5.0,13
Shahbaz Ahmed,3 All Rounder,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,4.885,0.0,0.0,3.721,5.5,3.0,8
Shashank Singh,3 All Rounder,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,2.305,0.0,0.0,0.0,2.0,0.0,4
Suyash Prabhudessai,3 All Rounder,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,3.637,0.0,0.0,2.326,4.0,1.5,20
T Natarajan,4 Bowler,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,7.052,3.123,3.776,7.052,10.5,14.5,105
Umran Malik,4 Bowler,"Brabourne Stadium, Mumbai",SRH,RCB,AWAY,CHASE,4.739,0.0,0.0,5.123,6.5,5.0,35
Virat Kohli,2 Batsmen,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,3.458,3.882,5.566,3.733,4.5,5.0,2
Wanindu Hasaranga de Silva,3 All Rounder,"Brabourne Stadium, Mumbai",RCB,SRH,HOME,TARGET,7.416,7.662,9.847,7.416,10.5,18.0,13
